node,lo,hi,width
1,1.0000000000,1.0000000000,0.0000000000
2,0.7500000000,0.8500000000,0.1000000000
6,1.0000000000,1.0000000000,0.0000000000
10,1.0000000000,1.0000000000,0.0000000000
15,1.0000000000,1.0000000000,0.0000000000
16,0.7500000000,0.8500000000,0.1000000000
18,1.0000000000,1.0000000000,0.0000000000
20,1.0000000000,1.0000000000,0.0000000000
21,0.7500000000,0.8500000000,0.1000000000
22,1.0000000000,1.0000000000,0.0000000000
23,0.7500000000,0.8500000000,0.1000000000
28,1.0000000000,1.0000000000,0.0000000000
29,0.7500000000,0.8500000000,0.1000000000
30,0.7500000000,0.8500000000,0.1000000000
31,0.7492675781,0.8499354531,0.1006678750
32,0.7377319336,0.8470763852,0.1093444516
33,0.7500000000,0.8500000000,0.1000000000
34,0.7500000000,0.8500000000,0.1000000000
59,1.0000000000,1.0000000000,0.0000000000
61,1.0000000000,1.0000000000,0.0000000000
62,0.7500000000,0.8500000000,0.1000000000
63,1.0000000000,1.0000000000,0.0000000000
64,0.7500000000,0.8500000000,0.1000000000
65,0.7500000000,0.8500000000,0.1000000000
68,1.0000000000,1.0000000000,0.0000000000
69,0.7500000000,0.8500000000,0.1000000000
76,1.0000000000,1.0000000000,0.0000000000
79,1.0000000000,1.0000000000,0.0000000000
80,0.7500000000,0.8500000000,0.1000000000
81,0.7500000000,0.8500000000,0.1000000000
82,0.7500000000,0.8500000000,0.1000000000
85,1.0000000000,1.0000000000,0.0000000000
87,1.0000000000,1.0000000000,0.0000000000
90,0.7500000000,0.8500000000,0.1000000000
91,0.7500000000,0.8500000000,0.1000000000
92,0.7500000000,0.8500000000,0.1000000000
93,0.7500000000,0.8500000000,0.1000000000
94,0.7500000000,0.8500000000,0.1000000000
95,0.7500000000,0.8500000000,0.1000000000
96,0.7500000000,0.8500000000,0.1000000000
97,0.7500000000,0.8500000000,0.1000000000
98,0.7500000000,0.8500000000,0.1000000000
99,0.7500000000,0.8500000000,0.1000000000
100,0.7500000000,0.8500000000,0.1000000000
101,0.7500000000,0.8500000000,0.1000000000
102,0.7500000000,0.8500000000,0.1000000000
103,0.7500000000,0.8500000000,0.1000000000
104,0.7500000000,0.8500000000,0.1000000000
105,0.7500000000,0.8500000000,0.1000000000
106,0.7500000000,0.8500000000,0.1000000000
107,0.7500000000,0.8500000000,0.1000000000
108,0.7500000000,0.8500000000,0.1000000000
109,0.7500000000,0.8500000000,0.1000000000
110,0.7500000000,0.8500000000,0.1000000000
111,0.7500000000,0.8500000000,0.1000000000
112,0.7500000000,0.8500000000,0.1000000000
113,0.7500000000,0.8500000000,0.1000000000
114,0.7500000000,0.8500000000,0.1000000000
115,0.7500000000,0.8500000000,0.1000000000
116,0.7500000000,0.8500000000,0.1000000000
117,0.7500000000,0.8500000000,0.1000000000
118,0.7500000000,0.8500000000,0.1000000000
119,0.7500000000,0.8500000000,0.1000000000
120,0.7500000000,0.8500000000,0.1000000000
122,0.7500000000,0.8500000000,0.1000000000
123,0.7500000000,0.8500000000,0.1000000000
125,0.7500000000,0.8500000000,0.1000000000
126,0.7500000000,0.8500000000,0.1000000000
127,0.7500000000,0.8500000000,0.1000000000
128,0.7500000000,0.8500000000,0.1000000000
129,0.7500000000,0.8500000000,0.1000000000
130,0.7500000000,0.8500000000,0.1000000000
131,0.7500000000,0.8500000000,0.1000000000
132,0.7500000000,0.8500000000,0.1000000000
133,0.7500000000,0.8500000000,0.1000000000
134,0.7500000000,0.8500000000,0.1000000000
135,1.0000000000,1.0000000000,0.0000000000
136,0.7500000000,0.8500000000,0.1000000000
137,0.7500000000,0.8500000000,0.1000000000
138,0.7500000000,0.8500000000,0.1000000000
139,0.7500000000,0.8500000000,0.1000000000
140,0.7500000000,0.8500000000,0.1000000000
141,0.7500000000,0.8500000000,0.1000000000
142,0.7500000000,0.8500000000,0.1000000000
143,0.7500000000,0.8500000000,0.1000000000
144,0.7500000000,0.8500000000,0.1000000000
145,0.7500000000,0.8500000000,0.1000000000
146,0.7500000000,0.8500000000,0.1000000000
147,0.7500000000,0.8500000000,0.1000000000
148,1.0000000000,1.0000000000,0.0000000000
149,0.7500000000,0.8500000000,0.1000000000
150,0.7500000000,0.8500000000,0.1000000000
151,0.7500000000,0.8500000000,0.1000000000
152,0.7500000000,0.8500000000,0.1000000000
153,0.7500000000,0.8500000000,0.1000000000
154,0.7500000000,0.8500000000,0.1000000000
155,0.7500000000,0.8500000000,0.1000000000
156,0.7500000000,0.8500000000,0.1000000000
157,0.7500000000,0.8500000000,0.1000000000
158,0.7500000000,0.8500000000,0.1000000000
159,0.7500000000,0.8500000000,0.1000000000
160,0.7500000000,0.8500000000,0.1000000000
161,1.0000000000,1.0000000000,0.0000000000
162,0.7500000000,0.8500000000,0.1000000000
163,0.7500000000,0.8500000000,0.1000000000
164,0.7500000000,0.8500000000,0.1000000000
165,0.7500000000,0.8500000000,0.1000000000
166,0.7500000000,0.8500000000,0.1000000000
167,0.7500000000,0.8500000000,0.1000000000
168,0.7500000000,0.8500000000,0.1000000000
169,0.7500000000,0.8500000000,0.1000000000
170,0.7500000000,0.8500000000,0.1000000000
171,0.7500000000,0.8500000000,0.1000000000
172,0.7500000000,0.8500000000,0.1000000000
173,0.7500000000,0.8500000000,0.1000000000
174,0.7500000000,0.8500000000,0.1000000000
175,0.7500000000,0.8500000000,0.1000000000
176,0.7500000000,0.8500000000,0.1000000000
177,0.7500000000,0.8500000000,0.1000000000
178,0.7500000000,0.8500000000,0.1000000000
179,0.7500000000,0.8500000000,0.1000000000
180,0.7500000000,0.8500000000,0.1000000000
181,0.7500000000,0.8500000000,0.1000000000
182,0.5625000000,0.7225000000,0.1600000000
183,0.7500000000,0.8500000000,0.1000000000
184,0.5625000000,0.7225000000,0.1600000000
185,0.7500000000,0.8500000000,0.1000000000
186,0.7031250000,0.8308750000,0.1277500000
187,0.5625000000,0.7225000000,0.1600000000
188,0.7500000000,0.8500000000,0.1000000000
189,0.7031250000,0.8308750000,0.1277500000
190,0.7500000000,0.8500000000,0.1000000000
191,0.7500000000,0.8500000000,0.1000000000
192,0.7500000000,0.8500000000,0.1000000000
193,0.7500000000,0.8500000000,0.1000000000
