regime,operator,xstar,ipa_lo,ipa_hi,band,mc_phat,N_worst
perfect,cvxP,0.01,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.05,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.10,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.15,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.20,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.25,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.30,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.35,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.40,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.45,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.50,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.55,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.60,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.65,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.70,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.75,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.80,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.85,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.90,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxP,0.95,0.0000,0.1000,0.1000,0.0000,385
perfect,cvxP,0.99,0.6200,0.9600,0.3400,0.7215,34
perfect,cvxF,0.01,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.05,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.10,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.15,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.20,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.25,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.30,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.35,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.40,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.45,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.50,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.55,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.60,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.65,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.70,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.75,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.80,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.85,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.90,0.0000,0.0200,0.0200,0.0000,9604
perfect,cvxF,0.95,0.0000,0.1000,0.1000,0.0000,385
perfect,cvxF,0.99,0.3800,1.0000,0.6200,0.7215,10
uncert0.7,cvxP,0.01,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxP,0.05,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxP,0.10,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxP,0.15,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxP,0.20,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxP,0.25,0.0000,0.0800,0.0800,0.0000,601
uncert0.7,cvxP,0.30,0.0000,0.1400,0.1400,0.0000,196
uncert0.7,cvxP,0.35,0.0000,0.3400,0.3400,0.0668,34
uncert0.7,cvxP,0.40,0.2000,0.8800,0.6800,0.5420,9
uncert0.7,cvxP,0.45,0.7400,1.0000,0.2600,0.9402,57
uncert0.7,cvxP,0.50,0.9200,1.0000,0.0800,0.9993,601
uncert0.7,cvxP,0.55,0.9600,1.0000,0.0400,1.0000,2401
uncert0.7,cvxP,0.60,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxP,0.65,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxP,0.70,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxP,0.75,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxP,0.80,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxP,0.85,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxP,0.90,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxP,0.95,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxP,0.99,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxF,0.01,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxF,0.05,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxF,0.10,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxF,0.15,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxF,0.20,0.0000,0.0200,0.0200,0.0000,9604
uncert0.7,cvxF,0.25,0.0000,0.2200,0.2200,0.0000,80
uncert0.7,cvxF,0.30,0.0000,0.7200,0.7200,0.0000,8
uncert0.7,cvxF,0.35,0.0000,1.0000,1.0000,0.0668,4
uncert0.7,cvxF,0.40,0.0000,1.0000,1.0000,0.5420,4
uncert0.7,cvxF,0.45,0.0200,1.0000,0.9800,0.9402,4
uncert0.7,cvxF,0.50,0.3600,1.0000,0.6400,0.9993,10
uncert0.7,cvxF,0.55,0.7800,1.0000,0.2200,1.0000,80
uncert0.7,cvxF,0.60,0.9600,1.0000,0.0400,1.0000,2401
uncert0.7,cvxF,0.65,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxF,0.70,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxF,0.75,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxF,0.80,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxF,0.85,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxF,0.90,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxF,0.95,0.9800,1.0000,0.0200,1.0000,9604
uncert0.7,cvxF,0.99,0.9800,1.0000,0.0200,1.0000,9604
