name,V,E,vars,naive_status,naive_nodes,naive_ms,sift_status,sift_nodes,sift_ms
counterexample-n15,15,23,38,ok,4297,40.0,ok,340,59.0
random_n15_p01_s1,15,23,38,ok,4297,34.0,ok,340,40.0
random_n15_p015_s3,15,27,42,ok,9050,34.0,ok,600,42.0
mutant_rand28_s1,28,62,90,ok,698679,205.0,ok,1762,95.0
mutant_rand28_s2,28,62,90,blowup,5404952,2518.0,ok,2682,122.0
mutant_rand28_s3,28,62,90,blowup,3641375,1819.0,ok,3049,90.0
mutant_rand28_s4,28,62,90,blowup,3847915,1838.0,ok,1370,84.0
mutant_rand28_s5,28,62,90,blowup,4305031,2347.0,ok,5073,161.0
mutant_rand28_s6,28,62,90,ok,1275822,561.0,ok,2227,89.0
mutant_rand28_s7,28,62,90,blowup,3131844,1430.0,ok,2441,95.0
mutant_rand28_s8,28,62,90,blowup,4864545,2400.0,ok,6050,139.0
random_n10_p01_s1,10,14,24,ok,478,33.0,ok,58,33.0
random_n10_p01_s2,10,12,22,ok,248,35.0,ok,45,34.0
random_n10_p01_s3,10,14,24,ok,503,34.0,ok,104,38.0
random_n10_p01_s4,10,14,24,ok,630,39.0,ok,80,41.0
random_n10_p01_s5,10,15,25,ok,419,41.0,ok,110,39.0
random_n10_p01_s6,10,13,23,ok,339,39.0,ok,103,37.0
random_n10_p01_s7,10,14,24,ok,819,38.0,ok,78,37.0
random_n10_p01_s8,10,13,23,ok,354,38.0,ok,51,34.0
random_n10_p015_s1,10,14,24,ok,428,34.0,ok,79,34.0
random_n10_p015_s2,10,12,22,ok,287,35.0,ok,41,37.0
random_n10_p015_s3,10,16,26,ok,767,35.0,ok,177,35.0
random_n10_p015_s4,10,14,24,ok,630,39.0,ok,80,39.0
random_n10_p015_s5,10,13,23,ok,303,45.0,ok,52,38.0
random_n10_p015_s6,10,15,25,ok,541,37.0,ok,147,38.0
random_n10_p015_s7,10,14,24,ok,819,37.0,ok,78,36.0
random_n10_p015_s8,10,14,24,ok,608,34.0,ok,107,39.0
random_n10_p02_s1,10,14,24,ok,380,45.0,ok,60,46.0
random_n10_p02_s2,10,13,23,ok,356,45.0,ok,76,45.0
random_n10_p02_s3,10,18,28,ok,1004,43.0,ok,270,44.0
random_n10_p02_s4,10,14,24,ok,502,49.0,ok,97,54.0
random_n10_p02_s5,10,13,23,ok,404,53.0,ok,64,60.0
random_n10_p02_s6,10,15,25,ok,459,51.0,ok,148,52.0
random_n10_p02_s7,10,14,24,ok,942,51.0,ok,89,48.0
random_n10_p02_s8,10,15,25,ok,850,44.0,ok,123,42.0
random_n12_p01_s1,12,16,28,ok,934,38.0,ok,98,40.0
random_n12_p01_s2,12,15,27,ok,421,45.0,ok,74,37.0
random_n12_p01_s3,12,19,31,ok,1720,37.0,ok,313,40.0
random_n12_p01_s4,12,17,29,ok,864,38.0,ok,131,37.0
random_n12_p01_s5,12,17,29,ok,854,35.0,ok,162,34.0
random_n12_p01_s6,12,19,31,ok,1224,34.0,ok,172,34.0
random_n12_p01_s7,12,19,31,ok,1729,34.0,ok,321,41.0
random_n12_p01_s8,12,17,29,ok,1450,35.0,ok,112,36.0
