sink,operator,xstar,ipa_lo,ipa_hi,band,mc_phat,N_worst
2,cvxP,0.01,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.05,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.10,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.15,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.20,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.25,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.30,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.35,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.40,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.45,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.50,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.55,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.60,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.65,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.70,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.75,0.0000,0.0200,0.0200,0.0000,9604
2,cvxP,0.80,0.5000,0.5000,0.0000,0.5083,-1
2,cvxP,0.85,0.9800,1.0000,0.0200,1.0000,9604
2,cvxP,0.90,0.9800,1.0000,0.0200,1.0000,9604
2,cvxP,0.95,0.9800,1.0000,0.0200,1.0000,9604
2,cvxP,0.99,0.9800,1.0000,0.0200,1.0000,9604
2,cvxF,0.01,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.05,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.10,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.15,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.20,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.25,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.30,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.35,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.40,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.45,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.50,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.55,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.60,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.65,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.70,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.75,0.0000,0.0200,0.0200,0.0000,9604
2,cvxF,0.80,0.5000,0.5000,0.0000,0.5083,-1
2,cvxF,0.85,0.9800,1.0000,0.0200,1.0000,9604
2,cvxF,0.90,0.9800,1.0000,0.0200,1.0000,9604
2,cvxF,0.95,0.9800,1.0000,0.0200,1.0000,9604
2,cvxF,0.99,0.9800,1.0000,0.0200,1.0000,9604
