distribution,regime,width,unsound,band,mc_lo,mc_hi,status
tri,perfect,0.05,0.000,0.420,0.972,0.994,sound
tri,perfect,0.10,0.000,0.760,0.953,0.999,sound
tri,perfect,0.15,0.000,0.880,0.925,0.999,sound
tri,uncert0.7,0.05,0.000,1.000,0.348,0.452,sound
tri,uncert0.7,0.10,0.000,1.000,0.303,0.512,sound
tri,uncert0.7,0.15,0.000,1.000,0.252,0.555,sound
uni,perfect,0.05,0.000,0.540,0.969,0.995,sound
uni,perfect,0.10,0.000,0.760,0.945,1.000,sound
uni,perfect,0.15,0.000,0.780,0.909,1.000,sound
uni,uncert0.7,0.05,0.000,1.000,0.331,0.470,sound
uni,uncert0.7,0.10,0.000,1.000,0.272,0.551,sound
uni,uncert0.7,0.15,0.000,1.000,0.206,0.604,sound
skew,perfect,0.05,0.000,0.860,0.970,0.993,sound
skew,perfect,0.10,0.000,0.900,0.947,0.998,sound
skew,perfect,0.15,0.000,1.000,0.912,0.996,sound
skew,uncert0.7,0.05,0.000,1.000,0.328,0.432,sound
skew,uncert0.7,0.10,0.000,1.000,0.266,0.471,sound
skew,uncert0.7,0.15,0.000,1.000,0.200,0.483,sound
