x,emp_cdf,ipa_lo,ipa_hi,naive_lo,naive_hi
0.000,0.0000,0.0000,0.0050,0.0000,0.0050
0.010,0.0000,0.0000,0.0050,0.0000,0.0050
0.020,0.0000,0.0000,0.0050,0.0000,0.0050
0.030,0.0000,0.0000,0.0050,0.0000,0.0050
0.040,0.0000,0.0000,0.0050,0.0000,0.0050
0.050,0.0000,0.0000,0.0050,0.0000,0.0050
0.060,0.0000,0.0000,0.0100,0.0000,0.0050
0.070,0.0000,0.0000,0.0100,0.0000,0.0050
0.080,0.0000,0.0000,0.0150,0.0000,0.0050
0.090,0.0000,0.0000,0.0200,0.0000,0.0050
0.100,0.0003,0.0000,0.0250,0.0000,0.0050
0.110,0.0032,0.0050,0.0450,0.0000,0.0050
0.120,0.0128,0.0200,0.0750,0.0000,0.0050
0.130,0.0352,0.0400,0.1150,0.0000,0.0050
0.140,0.0708,0.0700,0.1650,0.0000,0.0050
0.150,0.1180,0.1100,0.2200,0.0000,0.0050
0.160,0.1751,0.1550,0.2850,0.0000,0.0050
0.170,0.2390,0.2100,0.3500,0.0000,0.0100
0.180,0.3070,0.2650,0.4200,0.0000,0.0100
0.190,0.3761,0.3250,0.4850,0.0000,0.0100
0.200,0.4463,0.3850,0.5500,0.0000,0.0100
0.210,0.5151,0.4450,0.6150,0.0000,0.0100
0.220,0.5810,0.5050,0.6700,0.0000,0.0100
0.230,0.6460,0.5600,0.7250,0.0000,0.0150
0.240,0.7063,0.6100,0.7700,0.0000,0.0150
0.250,0.7613,0.6600,0.8100,0.0000,0.0250
0.260,0.8098,0.7050,0.8500,0.0000,0.0350
0.270,0.8521,0.7450,0.8800,0.0050,0.0500
0.280,0.8878,0.7800,0.9050,0.0200,0.0800
0.290,0.9176,0.8100,0.9250,0.0400,0.1150
0.300,0.9420,0.8400,0.9450,0.0700,0.1650
0.310,0.9612,0.8650,0.9600,0.1050,0.2200
0.320,0.9750,0.8850,0.9700,0.1550,0.2800
0.330,0.9852,0.9000,0.9800,0.2050,0.3450
0.340,0.9918,0.9150,0.9850,0.2650,0.4150
0.350,0.9956,0.9250,0.9900,0.3250,0.4800
0.360,0.9978,0.9350,0.9950,0.3850,0.5450
0.370,0.9991,0.9450,1.0000,0.4500,0.6100
0.380,0.9997,0.9500,1.0000,0.5100,0.6700
0.390,0.9999,0.9550,1.0000,0.5700,0.7300
0.400,1.0000,0.9600,1.0000,0.6300,0.7850
0.410,1.0000,0.9650,1.0000,0.6850,0.8350
0.420,1.0000,0.9650,1.0000,0.7350,0.8750
0.430,1.0000,0.9700,1.0000,0.7850,0.9100
0.440,1.0000,0.9700,1.0000,0.8250,0.9400
0.450,1.0000,0.9700,1.0000,0.8600,0.9600
0.460,1.0000,0.9700,1.0000,0.8900,0.9750
0.470,1.0000,0.9750,1.0000,0.9150,0.9900
0.480,1.0000,0.9750,1.0000,0.9350,0.9950
0.490,1.0000,0.9750,1.0000,0.9450,1.0000
0.500,1.0000,0.9750,1.0000,0.9550,1.0000
0.510,1.0000,0.9750,1.0000,0.9650,1.0000
0.520,1.0000,0.9800,1.0000,0.9700,1.0000
0.530,1.0000,0.9800,1.0000,0.9750,1.0000
0.540,1.0000,0.9800,1.0000,0.9750,1.0000
0.550,1.0000,0.9800,1.0000,0.9800,1.0000
0.560,1.0000,0.9800,1.0000,0.9800,1.0000
0.570,1.0000,0.9800,1.0000,0.9800,1.0000
0.580,1.0000,0.9800,1.0000,0.9850,1.0000
0.590,1.0000,0.9800,1.0000,0.9850,1.0000
0.600,1.0000,0.9800,1.0000,0.9850,1.0000
