name,exact_range,ipa_overwidth,ipa_unsound,naive_overwidth
counterexample-n15,0.4786,5.55e-17,1.11e-16,3.389e-01
mutant_rand28_s1,0.4532,1.11e-16,1.11e-16,3.053e-01
mutant_rand28_s6,0.4554,1.67e-16,1.11e-16,2.884e-01
random_n10_p01_s1,0.4166,2.78e-17,1.11e-16,1.961e-01
random_n10_p01_s2,0.3184,1.11e-16,1.39e-17,1.762e-01
random_n10_p01_s3,0.4592,5.55e-17,1.11e-16,2.592e-01
random_n10_p01_s4,0.4989,1.39e-17,1.11e-16,3.164e-01
random_n10_p01_s5,0.4544,2.78e-17,2.22e-16,3.900e-01
random_n10_p01_s6,0.3966,1.39e-17,5.55e-17,1.590e-01
random_n10_p01_s7,0.4220,1.39e-17,5.55e-17,1.670e-01
random_n10_p01_s8,0.4734,5.55e-17,5.55e-17,1.439e-01
random_n10_p015_s1,0.4158,5.55e-17,1.11e-16,2.825e-01
random_n10_p015_s2,0.4392,5.55e-17,5.55e-17,6.192e-02
random_n10_p015_s3,0.4426,5.55e-17,5.55e-17,2.875e-01
random_n10_p015_s4,0.4989,1.39e-17,1.11e-16,3.164e-01
random_n10_p015_s5,0.4695,1.39e-17,1.11e-16,2.057e-01
random_n10_p015_s6,0.4432,1.11e-16,2.78e-17,2.531e-01
random_n10_p015_s7,0.4220,1.39e-17,5.55e-17,1.670e-01
random_n10_p015_s8,0.4228,1.39e-17,1.11e-16,1.784e-01
random_n10_p02_s1,0.4157,1.39e-17,1.11e-16,2.647e-01
random_n10_p02_s2,0.4006,1.39e-17,1.11e-16,1.452e-01
random_n10_p02_s3,0.4750,1.11e-16,2.78e-17,3.628e-01
random_n10_p02_s4,0.4094,1.11e-16,5.55e-17,2.751e-01
random_n10_p02_s5,0.3383,5.55e-17,5.55e-17,2.254e-01
random_n10_p02_s6,0.4595,5.55e-17,2.78e-17,2.624e-01
random_n10_p02_s7,0.4284,5.55e-17,5.55e-17,2.252e-01
random_n10_p02_s8,0.4545,1.11e-16,1.39e-17,2.408e-01
random_n12_p01_s1,0.3832,5.55e-17,5.55e-17,1.303e-01
random_n12_p01_s2,0.4728,5.55e-17,1.11e-16,1.879e-01
random_n12_p01_s3,0.3000,6.94e-18,5.55e-17,2.769e-01
random_n12_p01_s4,0.4398,1.39e-17,2.78e-17,2.463e-01
random_n12_p01_s5,0.4907,5.55e-17,5.55e-17,2.493e-01
random_n12_p01_s6,0.4786,1.11e-16,5.55e-17,2.506e-01
random_n12_p01_s7,0.4521,5.55e-17,1.11e-16,2.056e-01
random_n12_p01_s8,0.4048,5.55e-17,5.55e-17,1.441e-01
random_n12_p015_s1,0.4022,5.55e-17,5.55e-17,1.822e-01
random_n12_p015_s2,0.3000,2.78e-17,5.55e-17,3.138e-01
random_n12_p015_s3,0.3521,1.11e-16,5.55e-17,3.643e-01
random_n12_p015_s4,0.4398,1.39e-17,2.78e-17,2.463e-01
random_n12_p015_s5,0.4508,5.55e-17,5.55e-17,3.016e-01
random_n12_p015_s6,0.4786,1.67e-16,2.78e-17,2.910e-01
random_n12_p015_s7,0.4521,5.55e-17,1.11e-16,2.056e-01
random_n12_p015_s8,0.4775,5.55e-17,5.55e-17,2.174e-01
random_n12_p02_s1,0.4053,5.55e-17,1.39e-17,2.263e-01
random_n12_p02_s2,0.3926,5.55e-17,1.11e-16,2.219e-01
random_n12_p02_s3,0.4382,5.55e-17,1.11e-16,3.728e-01
random_n12_p02_s4,0.4276,5.55e-17,5.55e-17,2.837e-01
random_n12_p02_s5,0.3815,1.39e-17,5.55e-17,2.434e-01
random_n12_p02_s6,0.4473,5.55e-17,2.78e-17,3.686e-01
random_n12_p02_s7,0.4642,5.55e-17,5.55e-17,2.704e-01
random_n12_p02_s8,0.4376,5.55e-17,1.39e-17,2.581e-01
random_n15_p01_s1,0.4786,5.55e-17,1.11e-16,3.389e-01
random_n15_p01_s2,0.4277,5.55e-17,1.11e-16,2.572e-01
random_n15_p01_s3,0.4354,1.11e-16,1.11e-16,1.855e-01
random_n15_p01_s4,0.4138,1.11e-16,1.11e-16,2.062e-01
random_n15_p01_s5,0.4375,1.67e-16,6.94e-18,2.369e-01
random_n15_p01_s6,0.4683,2.78e-17,5.55e-17,1.632e-01
random_n15_p01_s7,0.4255,1.11e-16,5.55e-17,2.408e-01
random_n15_p01_s8,0.4170,5.55e-17,1.11e-16,3.390e-01
random_n15_p015_s1,0.4558,5.55e-17,5.55e-17,3.011e-01
random_n15_p015_s2,0.4618,5.55e-17,5.55e-17,3.549e-01
random_n15_p015_s3,0.4550,2.78e-17,1.11e-16,1.859e-01
random_n15_p015_s4,0.4753,1.11e-16,5.55e-17,2.476e-01
random_n15_p015_s5,0.4131,5.55e-17,5.55e-17,2.476e-01
random_n15_p015_s6,0.4197,1.11e-16,5.55e-17,2.595e-01
random_n15_p015_s7,0.4062,1.11e-16,5.55e-17,1.912e-01
random_n15_p015_s8,0.4454,1.11e-16,5.55e-17,3.378e-01
random_n15_p02_s1,0.4670,5.55e-17,1.11e-16,3.241e-01
random_n15_p02_s2,0.4538,1.11e-16,1.67e-16,2.923e-01
random_n15_p02_s3,0.4479,1.67e-16,1.11e-16,3.644e-01
random_n15_p02_s4,0.4975,5.55e-17,5.55e-17,3.579e-01
random_n15_p02_s5,0.4259,5.55e-17,5.55e-17,2.880e-01
random_n15_p02_s6,0.4056,5.55e-17,8.33e-17,3.087e-01
random_n15_p02_s7,0.4740,1.11e-16,5.55e-17,2.638e-01
random_n15_p02_s8,0.3997,5.55e-17,1.11e-16,3.300e-01
random_n20_p01_s1,0.3743,5.55e-17,1.11e-16,2.367e-01
random_n20_p01_s2,0.3000,5.55e-17,5.55e-17,2.673e-01
random_n20_p01_s3,0.4978,5.55e-17,5.55e-17,4.307e-01
random_n20_p01_s4,0.4092,1.11e-16,6.07e-18,1.969e-01
random_n20_p01_s5,0.4594,1.11e-16,1.11e-16,2.080e-01
random_n20_p01_s6,0.4348,2.78e-17,5.55e-17,1.595e-01
random_n20_p01_s7,0.4316,1.11e-16,8.33e-17,3.432e-01
random_n20_p01_s8,0.4701,1.11e-16,5.55e-17,3.286e-01
random_n20_p015_s1,0.4427,5.55e-17,1.11e-16,3.543e-01
random_n20_p015_s2,0.3059,5.55e-17,1.11e-16,4.370e-01
random_n20_p015_s3,0.4979,2.22e-16,1.11e-16,4.179e-01
random_n20_p015_s4,0.4901,2.78e-17,1.11e-16,3.714e-01
random_n20_p015_s5,0.3796,5.55e-17,1.11e-16,3.387e-01
random_n20_p015_s6,0.4859,1.11e-16,5.55e-17,3.219e-01
random_n20_p015_s7,0.4852,5.55e-17,5.55e-17,4.342e-01
random_n20_p015_s8,0.4669,5.55e-17,1.11e-16,3.616e-01
random_n20_p02_s1,0.4637,1.11e-16,5.55e-17,3.652e-01
random_n20_p02_s2,0.4270,5.55e-17,1.11e-16,3.744e-01
random_n20_p02_s3,0.4569,5.55e-17,1.11e-16,4.261e-01
random_n20_p02_s4,0.4496,1.67e-16,1.11e-16,3.893e-01
random_n20_p02_s5,0.4525,5.55e-17,2.08e-17,3.244e-01
random_n20_p02_s6,0.4691,1.11e-16,1.11e-16,3.821e-01
random_n20_p02_s7,0.4723,1.11e-16,1.11e-16,4.522e-01
random_n20_p02_s8,0.4787,1.67e-16,5.55e-17,4.200e-01
random_n25_p01_s1,0.3680,5.55e-17,1.11e-16,2.901e-01
random_n25_p01_s2,0.4169,5.55e-17,2.78e-17,3.287e-01
random_n25_p01_s3,0.4983,2.22e-16,5.55e-17,3.816e-01
random_n25_p01_s4,0.4304,5.55e-17,1.11e-16,2.311e-01
random_n25_p01_s5,0.4175,5.55e-17,1.11e-16,2.225e-01
random_n25_p01_s6,0.4032,5.55e-17,5.55e-17,1.780e-01
random_n25_p01_s7,0.4248,1.11e-16,5.55e-17,2.148e-01
random_n25_p01_s8,0.4862,1.11e-16,1.11e-16,3.521e-01
random_n25_p015_s2,0.4134,1.11e-16,2.78e-17,3.709e-01
random_n25_p015_s4,0.4572,1.11e-16,1.11e-16,2.971e-01
random_n25_p015_s5,0.4759,1.11e-16,5.55e-17,2.698e-01
random_n25_p015_s6,0.4625,5.55e-17,1.11e-16,2.880e-01
random_n25_p015_s7,0.4601,1.11e-16,1.11e-16,2.809e-01
# SUMMARY checked=112 IPA_exact=112 worst_ipa_overwidth=2.22e-16 worst_ipa_unsound=2.22e-16 worst_naive_overwidth=4.522e-01
