name,V,E,src,ipa_t_ms,bdd_status,f64_vs_bdd,iv_vs_bdd_unsound,iv_vs_bdd_over,f64_vs_mc_stderrs
rand_n30_p006_s1,30,52,1,3055.2,ok,5.55e-17,1.11e-16,1.11e-16,-1.00
multi_n30_p006_s1,30,44,3,13.3,ok,1.11e-16,1.11e-16,1.11e-16,-1.00
rand_n30_p006_s2,30,46,1,4.9,ok,1.39e-17,1.11e-16,5.55e-17,-1.00
multi_n30_p006_s2,30,44,3,26.7,ok,5.55e-17,2.78e-16,1.11e-16,-1.00
rand_n30_p01_s1,30,64,1,1464.9,ok,5.55e-17,1.67e-16,1.11e-16,-1.00
multi_n30_p01_s1,30,51,3,18.6,ok,1.11e-16,1.11e-16,1.11e-16,-1.00
rand_n30_p01_s2,30,54,1,16.3,ok,1.11e-16,4.77e-18,1.11e-16,-1.00
multi_n30_p01_s2,30,63,3,186.8,ok,1.11e-16,1.11e-16,1.11e-16,-1.00
rand_n40_p006_s1,40,78,1,2980.7,ok,5.55e-17,1.11e-16,4.16e-17,-1.00
multi_n40_p006_s1,40,65,3,40.7,ok,1.11e-16,5.55e-17,1.11e-16,-1.00
rand_n40_p006_s2,40,73,1,186.5,ok,1.11e-16,2.22e-16,1.11e-16,-1.00
multi_n40_p006_s2,40,70,3,852.3,ok,1.11e-16,5.55e-17,2.22e-16,-1.00
rand_n40_p01_s1,40,98,1,4373.7,ok,5.55e-17,5.55e-17,1.11e-16,-1.00
multi_n40_p01_s1,40,88,3,13845.9,ok,1.11e-16,1.11e-16,1.11e-16,-1.00
rand_n40_p01_s2,40,93,1,347.5,ok,5.55e-17,1.11e-16,1.67e-16,-1.00
multi_n40_p01_s2,40,100,3,43593.8,ok,6.94e-17,1.11e-16,2.22e-16,-1.00
rand_n50_p006_s1,50,113,1,126963.9,ok,5.55e-17,1.67e-16,1.67e-16,-1.00
multi_n50_p006_s1,50,92,3,4329.0,ok,1.11e-16,1.11e-16,2.22e-16,-1.00
rand_n50_p006_s2,50,100,1,4705.7,ok,1.11e-16,1.11e-16,2.22e-16,-1.00
