name,family,V,E,vars,density,nroots,nuniq,maxcond,ipa_struct_ms,ipa_prop_ms,ipa_ops,worst_delta,naive_status,naive_nodes,naive_ms,sift_nodes,sift_ms
counterexample-n15,counterexample,15,23,38,0.2190,4,13,4,0.242,0.429,42,8.327e-17,ok,4297,40.0,340,59.0
mutant_rand28_s1,other,28,62,90,0.1640,12,76,13,2.285,31.785,1142,5.551e-17,ok,698679,205.0,1762,95.0
mutant_rand28_s2,other,28,62,90,0.1640,15,124,13,6.676,136.720,3488,5.551e-17,blowup,5404952,2518.0,2682,122.0
mutant_rand28_s3,other,28,62,90,0.1640,13,102,13,2.932,48.189,1581,1.110e-16,blowup,3641375,1819.0,3049,90.0
mutant_rand28_s4,other,28,62,90,0.1640,14,97,13,3.238,54.087,1702,5.551e-17,blowup,3847915,1838.0,1370,84.0
mutant_rand28_s5,other,28,62,90,0.1640,13,86,14,2.924,88.814,3679,5.551e-17,blowup,4305031,2347.0,5073,161.0
mutant_rand28_s6,other,28,62,90,0.1640,13,87,10,2.426,17.871,1095,5.551e-17,ok,1275822,561.0,2227,89.0
mutant_rand28_s7,other,28,62,90,0.1640,13,94,13,2.795,94.081,2114,5.551e-17,blowup,3131844,1430.0,2441,95.0
mutant_rand28_s8,other,28,62,90,0.1640,15,91,13,3.013,239.282,3089,5.551e-17,blowup,4864545,2400.0,6050,139.0
random_n10_p015_s1,random-n10,10,14,24,0.3111,3,6,3,0.062,0.102,17,5.551e-17,ok,428,34.0,79,34.0
random_n10_p015_s2,random-n10,10,12,22,0.2667,2,4,2,0.042,0.070,12,5.551e-17,ok,287,35.0,41,37.0
random_n10_p015_s3,random-n10,10,16,26,0.3556,5,13,3,0.149,0.263,42,5.551e-17,ok,767,35.0,177,35.0
random_n10_p015_s4,random-n10,10,14,24,0.3111,4,5,1,0.047,0.062,12,5.551e-17,ok,630,39.0,80,39.0
random_n10_p015_s5,random-n10,10,13,23,0.2889,4,5,2,0.044,0.059,12,2.776e-17,ok,303,45.0,52,38.0
random_n10_p015_s6,random-n10,10,15,25,0.3333,3,6,3,0.065,0.107,17,2.776e-17,ok,541,37.0,147,38.0
random_n10_p015_s7,random-n10,10,14,24,0.3111,4,7,3,0.073,0.128,20,2.776e-17,ok,819,37.0,78,36.0
random_n10_p015_s8,random-n10,10,14,24,0.3111,5,6,2,0.061,0.078,14,5.551e-17,ok,608,34.0,107,39.0
random_n10_p01_s1,random-n10,10,14,24,0.3111,4,8,2,0.099,0.145,22,2.776e-17,ok,478,33.0,58,33.0
random_n10_p01_s2,random-n10,10,12,22,0.2667,2,4,2,0.045,0.086,13,2.776e-17,ok,248,35.0,45,34.0
random_n10_p01_s3,random-n10,10,14,24,0.3111,4,10,3,0.110,0.208,33,2.776e-17,ok,503,34.0,104,38.0
random_n10_p01_s4,random-n10,10,14,24,0.3111,4,5,1,0.048,0.063,12,5.551e-17,ok,630,39.0,80,41.0
random_n10_p01_s5,random-n10,10,15,25,0.3333,4,7,2,0.065,0.094,18,5.551e-17,ok,419,41.0,110,39.0
random_n10_p01_s6,random-n10,10,13,23,0.2889,3,6,3,0.061,0.107,17,5.551e-17,ok,339,39.0,103,37.0
random_n10_p01_s7,random-n10,10,14,24,0.3111,4,7,3,0.072,0.123,20,2.776e-17,ok,819,38.0,78,37.0
random_n10_p01_s8,random-n10,10,13,23,0.2889,4,4,1,0.035,0.046,9,5.551e-17,ok,354,38.0,51,34.0
random_n10_p02_s1,random-n10,10,14,24,0.3111,3,8,3,0.082,0.148,24,5.551e-17,ok,380,45.0,60,46.0
