label,xstar,ipa_lo,ipa_hi,band,mc_phat,N_worst
grid-steps50-cvxP,0.35,0.0000,0.3400,0.3400,0.0668,34
grid-steps50-cvxP,0.40,0.2000,0.8800,0.6800,0.5420,9
grid-steps50-cvxF,0.35,0.0000,1.0000,1.0000,0.0668,4
grid-steps50-cvxF,0.40,0.0000,1.0000,1.0000,0.5420,4
grid-steps200-cvxP,0.35,0.0000,0.1450,0.1450,0.0668,183
grid-steps200-cvxP,0.40,0.3400,0.7450,0.4050,0.5420,24
grid-steps200-cvxF,0.35,0.0000,0.8850,0.8850,0.0668,5
grid-steps200-cvxF,0.40,0.0000,1.0000,1.0000,0.5420,4
bridge5-cvxP,0.01,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.05,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.10,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.15,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.20,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.25,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.30,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.35,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.40,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.45,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.50,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.55,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.60,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.65,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.70,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.75,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxP,0.80,0.0000,0.1000,0.1000,0.0000,385
bridge5-cvxP,0.85,0.0000,0.3400,0.3400,0.1193,34
bridge5-cvxP,0.90,0.9000,1.0000,0.1000,0.9992,385
bridge5-cvxP,0.95,0.9800,1.0000,0.0200,1.0000,9604
bridge5-cvxP,0.99,0.9800,1.0000,0.0200,1.0000,9604
bridge5-cvxF,0.01,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.05,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.10,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.15,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.20,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.25,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.30,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.35,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.40,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.45,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.50,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.55,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.60,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.65,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.70,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.75,0.0000,0.0200,0.0200,0.0000,9604
bridge5-cvxF,0.80,0.0000,0.1000,0.1000,0.0000,385
bridge5-cvxF,0.85,0.0000,0.9800,0.9800,0.1193,4
bridge5-cvxF,0.90,0.7600,1.0000,0.2400,0.9992,67
bridge5-cvxF,0.95,0.9800,1.0000,0.0200,1.0000,9604
bridge5-cvxF,0.99,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.01,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.05,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.10,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.15,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.20,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.25,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.30,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.35,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.40,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxP,0.45,0.0200,0.0400,0.0200,0.0250,9604
random15-cvxP,0.50,0.7000,0.7400,0.0400,0.7030,2401
random15-cvxP,0.55,0.9800,1.0000,0.0200,0.9995,9604
random15-cvxP,0.60,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.65,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.70,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.75,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.80,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.85,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.90,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.95,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxP,0.99,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.01,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.05,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.10,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.15,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.20,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.25,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.30,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.35,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.40,0.0000,0.0200,0.0200,0.0000,9604
random15-cvxF,0.45,0.0200,0.0400,0.0200,0.0250,9604
random15-cvxF,0.50,0.6800,0.7400,0.0600,0.7030,1068
random15-cvxF,0.55,0.9800,1.0000,0.0200,0.9995,9604
random15-cvxF,0.60,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.65,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.70,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.75,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.80,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.85,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.90,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.95,0.9800,1.0000,0.0200,1.0000,9604
random15-cvxF,0.99,0.9800,1.0000,0.0200,1.0000,9604
