name,V,E,n_diamonds,maxcond,sum_2^C,steps,pbox_propagate_seconds,warmup_seconds_trivial,status
random_n12_s1,12,18,8,3,26,50,2.9851,5.1670,ok
random_n12_s2,12,18,9,3,32,50,4.6418,5.8954,ok
random_n15_s1,15,25,17,5,160,50,15.4937,5.2873,ok
complete_8,8,28,21,6,240,50,29.6888,5.1394,ok
random_n15_s2,15,27,29,7,568,50,39.6774,5.1639,ok
grid_4x4,16,24,39,7,634,50,106.6036,5.2183,ok
grid_5x5,25,36,50,5,396,50,85.5499,4.9980,ok
counterexample,15,23,13,4,56,50,6.9117,5.1526,ok
random_n20_s2,20,41,38,9,1254,50,85.7466,5.0333,ok
layered_5x4,20,34,48,6,702,50,359.3102,5.1622,ok
random_n20_s1,20,42,52,8,1410,50,342.3654,5.0562,ok
bridge_5,16,25,55,10,4072,50,148.5832,5.2821,ok
random_n25_s2,25,56,98,9,5212,50,405.4452,5.2522,ok
random_n25_s1,25,58,82,13,17370,50,808.1473,5.3191,ok
