node,belief
1,0.900000
2,0.900000
3,0.047624
4,0.900000
5,0.166772
6,0.729000
7,0.650812
8,0.565920
9,0.216551
10,0.248639
11,0.157855
12,0.194883
13,0.180280
14,0.222568
15,0.274776
16,0.313811
17,0.339229
18,0.387420
19,0.478297
20,0.313811
21,0.254187
22,0.205891
23,0.166772
24,0.166772
25,0.214644
26,0.173861
27,0.164738
28,0.203380
29,0.251086
30,0.140828
31,0.309983
32,0.254187
33,0.254187
34,0.205891
35,0.166772
36,0.135085
37,0.109419
38,0.088629
39,0.071790
40,0.088629
41,0.071790
42,0.058150
43,0.048491
44,0.072586
45,0.059866
46,0.070914
47,0.122751
48,0.151545
49,0.199121
50,0.087548
51,0.219161
52,0.219980
53,0.135085
54,0.157855
55,0.047101
56,0.205891
57,0.038152
58,0.030903
59,0.161288
60,0.113600
61,0.081675
62,0.100833
63,0.066157
64,0.053587
65,0.043405
66,0.035158
67,0.028478
68,0.023067
69,0.018685
70,0.018685
71,0.036196
72,0.029319
73,0.035158
74,0.028478
75,0.023067
76,0.018685
77,0.489424
78,0.023067
79,0.487052
80,0.478297
81,0.590490
82,0.274776
83,0.222568
84,0.282884
85,0.267347
86,0.109419
87,0.088629
88,0.071790
89,0.073908
90,0.038152
91,0.039278
92,0.048491
93,0.058795
94,0.729000
95,0.729000
96,0.638320
97,0.590490
