epanet_id,integer_id,type
Lake,1,reservoir
River,2,reservoir
1,3,tank
2,4,tank
3,5,tank
10,6,junction
101,7,junction
103,8,junction
105,9,junction
107,10,junction
109,11,junction
111,12,junction
113,13,junction
115,14,junction
117,15,junction
119,16,junction
120,17,junction
121,18,junction
123,19,junction
125,20,junction
127,21,junction
129,22,junction
131,23,junction
139,24,junction
141,25,junction
143,26,junction
145,27,junction
147,28,junction
149,29,junction
15,30,junction
151,31,junction
153,32,junction
157,33,junction
159,34,junction
161,35,junction
163,36,junction
164,37,junction
166,38,junction
167,39,junction
169,40,junction
171,41,junction
173,42,junction
177,43,junction
179,44,junction
181,45,junction
183,46,junction
184,47,junction
185,48,junction
187,49,junction
189,50,junction
191,51,junction
193,52,junction
195,53,junction
197,54,junction
199,55,junction
20,56,junction
201,57,junction
203,58,junction
204,59,junction
205,60,junction
206,61,junction
207,62,junction
208,63,junction
209,64,junction
211,65,junction
213,66,junction
215,67,junction
217,68,junction
219,69,junction
225,70,junction
229,71,junction
231,72,junction
237,73,junction
239,74,junction
241,75,junction
243,76,junction
247,77,junction
249,78,junction
251,79,junction
253,80,junction
255,81,junction
257,82,junction
259,83,junction
261,84,junction
263,85,junction
265,86,junction
267,87,junction
269,88,junction
271,89,junction
273,90,junction
275,91,junction
35,92,junction
40,93,junction
50,94,junction
60,95,junction
601,96,junction
61,97,junction
