integer_id,epanet_id,demand_Lps
69,219,3.4932
73,237,1.3197
50,189,9.1237
32,153,3.7342
24,139,0.4979
30,15,39.1159
62,207,5.8663
20,125,3.8551
21,127,1.493
25,141,0.8327
35,161,1.3357
76,243,0.3669
79,251,2.0425
55,199,10.0874
70,225,1.9275
13,113,1.6917
51,191,6.9239
10,107,4.6193
23,131,3.6141
60,205,5.5256
33,157,4.3784
68,217,2.0476
71,229,5.4258
72,231,1.3932
9,105,11.4443
34,159,3.4932
36,163,0.7964
8,103,11.2608
14,115,4.4046
38,166,0.2198
11,109,19.5628
41,171,3.3258
77,247,5.95
58,203,280.0574
65,211,0.733
31,151,12.2145
27,145,2.3359
26,143,0.5242
67,215,7.7938
15,117,9.9513
52,193,6.0286
74,239,3.7714
43,177,4.9177
81,255,3.4146
57,201,3.7714
16,119,14.8902
80,253,4.6092
64,209,0.0736
29,149,2.2885
18,121,3.5194
12,111,11.9997
39,167,1.2309
66,213,1.1785
48,185,2.1685
54,197,1.4406
7,101,16.0585
28,147,0.7228
92,35,103.2787
