Simulation time step used: 604800
Total links: 119, kept: 119, dropped for acyclicity: 0

20: 3->20 (model), flow=-0.1387, oriented 20->3
40: 1->40 (model), flow=-0.0163, oriented 40->1
50: 2->50 (model), flow=0.0092, oriented 2->50
60: River->60 (model), flow=0.8259, oriented River->60
101: 10->101 (model), flow=0.0000, oriented 10->101
103: 101->103 (model), flow=0.0106, oriented 101->103
105: 101->105 (model), flow=-0.0266, oriented 105->101
107: 105->107 (model), flow=0.0020, oriented 105->107
109: 103->109 (model), flow=-0.0007, oriented 109->103
111: 109->111 (model), flow=-0.0203, oriented 111->109
112: 115->111 (model), flow=0.0313, oriented 115->111
113: 111->113 (model), flow=-0.0052, oriented 113->111
114: 115->113 (model), flow=0.0078, oriented 115->113
115: 107->115 (model), flow=-0.0026, oriented 115->107
116: 113->193 (model), flow=0.0009, oriented 113->193
117: 263->105 (model), flow=0.0401, oriented 263->105
119: 115->117 (model), flow=-0.0462, oriented 117->115
120: 119->120 (model), flow=0.0730, oriented 119->120
121: 120->117 (model), flow=0.0654, oriented 120->117
122: 121->120 (model), flow=0.0232, oriented 121->120
123: 121->119 (model), flow=0.6185, oriented 121->119
125: 123->121 (model), flow=0.8259, oriented 123->121
129: 121->125 (model), flow=0.1807, oriented 121->125
131: 125->127 (model), flow=0.1632, oriented 125->127
133: 20->127 (model), flow=-0.1387, oriented 127->20
135: 127->129 (model), flow=0.0230, oriented 127->129
137: 129->131 (model), flow=0.0036, oriented 129->131
145: 129->139 (model), flow=0.0194, oriented 129->139
147: 139->141 (model), flow=0.0189, oriented 139->141
149: 143->141 (model), flow=-0.0396, oriented 141->143
151: 15->143 (model), flow=-0.0391, oriented 143->15
153: 145->141 (model), flow=0.0215, oriented 145->141
155: 147->145 (model), flow=0.0239, oriented 147->145
159: 147->149 (model), flow=-0.0246, oriented 149->147
161: 149->151 (model), flow=-0.0269, oriented 151->149
163: 151->153 (model), flow=-0.0099, oriented 153->151
169: 125->153 (model), flow=0.0136, oriented 125->153
171: 119->151 (model), flow=0.0292, oriented 119->151
173: 119->157 (model), flow=0.5015, oriented 119->157
175: 157->159 (model), flow=0.4971, oriented 157->159
177: 159->161 (model), flow=0.4936, oriented 159->161
179: 161->163 (model), flow=0.4764, oriented 161->163
180: 163->164 (model), flow=0.0002, oriented 163->164
181: 164->166 (model), flow=0.0002, oriented 164->166
183: 265->169 (model), flow=0.4624, oriented 265->169
185: 167->169 (model), flow=-0.0012, oriented 169->167
186: 187->204 (model), flow=0.0219, oriented 187->204
187: 169->171 (model), flow=0.4230, oriented 169->171
189: 171->173 (model), flow=0.3060, oriented 171->173
191: 271->171 (model), flow=-0.1136, oriented 171->271
193: 35->181 (model), flow=-0.1033, oriented 181->35
195: 181->177 (model), flow=0.0193, oriented 181->177
197: 177->179 (model), flow=0.0144, oriented 177->179
199: 179->183 (model), flow=-0.0019, oriented 183->179
201: 40->179 (model), flow=-0.0163, oriented 179->40
202: 185->184 (model), flow=0.0356, oriented 185->184
203: 183->185 (model), flow=0.0159, oriented 183->185
204: 184->205 (model), flow=0.0356, oriented 184->205
205: 204->185 (model), flow=0.0219, oriented 204->185
207: 189->183 (model), flow=0.0178, oriented 189->183
209: 189->187 (model), flow=0.0104, oriented 189->187
211: 169->269 (model), flow=0.0381, oriented 169->269
213: 191->187 (model), flow=0.0114, oriented 191->187
215: 267->189 (model), flow=0.0082, oriented 267->189
217: 191->193 (model), flow=-0.0155, oriented 193->191
219: 193->195 (model), flow=-0.0158, oriented 195->193
221: 161->195 (model), flow=0.0158, oriented 161->195
223: 197->191 (model), flow=0.0028, oriented 197->191
225: 111->197 (model), flow=0.0043, oriented 111->197
229: 173->199 (model), flow=0.3060, oriented 173->199
231: 199->201 (model), flow=0.2870, oriented 199->201
233: 201->203 (model), flow=0.2801, oriented 201->203
235: 199->273 (model), flow=0.0089, oriented 199->273
237: 205->207 (model), flow=0.0318, oriented 205->207
238: 207->206 (model), flow=0.0364, oriented 207->206
239: 275->207 (model), flow=0.0104, oriented 275->207
240: 206->208 (model), flow=0.0364, oriented 206->208
241: 208->209 (model), flow=0.0364, oriented 208->209
243: 209->211 (model), flow=0.0363, oriented 209->211
245: 211->213 (model), flow=0.0209, oriented 211->213
247: 213->215 (model), flow=0.0153, oriented 213->215
249: 215->217 (model), flow=0.0075, oriented 215->217
251: 217->219 (model), flow=0.0035, oriented 217->219
257: 217->225 (model), flow=0.0019, oriented 217->225
261: 213->229 (model), flow=0.0045, oriented 213->229
263: 229->231 (model), flow=0.0014, oriented 229->231
269: 211->237 (model), flow=0.0146, oriented 211->237
271: 237->229 (model), flow=0.0023, oriented 237->229
273: 237->239 (model), flow=0.0110, oriented 237->239
275: 239->241 (model), flow=0.0029, oriented 239->241
277: 241->243 (model), flow=0.0004, oriented 241->243
281: 241->247 (model), flow=0.0026, oriented 241->247
283: 239->249 (model), flow=0.0043, oriented 239->249
285: 247->249 (model), flow=-0.0029, oriented 249->247
287: 247->255 (model), flow=-0.0005, oriented 255->247
289: 50->255 (model), flow=0.0092, oriented 50->255
291: 255->253 (model), flow=0.0046, oriented 255->253
293: 255->251 (model), flow=0.0007, oriented 255->251
295: 249->251 (model), flow=0.0014, oriented 249->251
297: 120->257 (model), flow=0.0307, oriented 120->257
299: 257->259 (model), flow=0.0148, oriented 257->259
301: 259->263 (model), flow=0.0148, oriented 259->263
303: 257->261 (model), flow=0.0160, oriented 257->261
305: 117->261 (model), flow=0.0093, oriented 117->261
307: 261->263 (model), flow=0.0253, oriented 261->263
309: 265->267 (model), flow=0.0131, oriented 265->267
311: 193->267 (model), flow=-0.0048, oriented 267->193
313: 269->189 (model), flow=0.0292, oriented 269->189
315: 181->271 (model), flow=-0.1226, oriented 271->181
317: 273->275 (model), flow=0.0072, oriented 273->275
319: 273->205 (model), flow=0.0017, oriented 273->205
321: 163->265 (model), flow=0.4754, oriented 163->265
323: 201->275 (model), flow=0.0032, oriented 201->275
325: 269->271 (model), flow=0.0090, oriented 269->271
329: 61->123 (model), flow=0.8259, oriented 61->123
330: 60->601 (model), flow=0.0000, oriented 60->601
333: 601->61 (model), flow=-0.0000, oriented 61->601
10: Lake->10 (model), flow=0.0000, oriented Lake->10
335: 60->61 (model), flow=0.8259, oriented 60->61
